name,ra_h,dec_d,magnitude,obj_type,common_name,notes
M38,5.4783,35.8333,6.4,Open Cluster,,Open cluster in Auriga with a distinctive cross shape
M39,21.5367,48.4333,4.6,Open Cluster,,Large but sparse open cluster in Cygnus; easily resolved in binoculars
M40,12.3733,58.0833,8.4,Double Star,,Actually a wide double star; Messier catalogued it by mistake
M41,6.7667,-20.7333,4.5,Open Cluster,,Bright naked-eye cluster south of Sirius
M42,5.5900,-5.3833,4.0,Emission Nebula,Orion Nebula,Most famous nebula in the sky; star-forming region 1344 light-years away
M43,5.5933,-5.2667,9.0,Emission Nebula,De Mairan's Nebula,Detached portion of the Orion Nebula complex; surrounds the star NU Ori
M44,8.6683,19.9833,3.1,Open Cluster,Beehive Cluster,Naked-eye cluster in Cancer; 1000+ stars; one of the nearest clusters
M45,3.7833,24.1167,1.6,Open Cluster,Pleiades,Most famous open cluster; the Seven Sisters; surrounded by faint reflection nebula
M46,7.6967,-14.8167,6.1,Open Cluster,,Rich open cluster in Puppis; contains planetary nebula NGC 2438 in foreground
M47,7.6100,-14.4833,4.4,Open Cluster,,Bright loose cluster in Puppis; naked-eye object
M48,8.2300,-5.8000,5.8,Open Cluster,,Large scattered cluster in Hydra; naked-eye from dark sites
M49,12.4967,8.0000,8.4,Elliptical Galaxy,,Brightest galaxy in the Virgo Cluster
M50,7.0467,-8.3833,5.9,Open Cluster,,Loose open cluster in Monoceros; heart-shaped arrangement of stars
M51,13.4983,47.2000,8.4,Spiral Galaxy,Whirlpool Galaxy,Classic face-on spiral with a companion galaxy NGC 5195; iconic astrophoto target
M52,23.4033,61.5833,7.3,Open Cluster,,Rich open cluster near Cassiopeia; young and compact
M53,13.2150,18.1667,8.3,Globular Cluster,,Outlying globular cluster in Coma Berenices
M54,18.9183,-30.4833,8.4,Globular Cluster,,Belongs to the Sagittarius Dwarf Galaxy — not actually part of the Milky Way
M55,19.6667,-30.9667,7.0,Globular Cluster,,Large low-density globular in Sagittarius; easy to resolve
M56,19.2767,30.1833,8.3,Globular Cluster,,Compact globular in Lyra between Vega and Albireo
M57,18.8933,33.0333,8.8,Planetary Nebula,Ring Nebula,Classic ring-shaped planetary nebula; remnant of a dead star like our Sun
M58,12.6283,11.8167,9.7,Spiral Galaxy,,Brightest spiral galaxy in the Virgo Cluster
M59,12.7000,11.6500,9.6,Elliptical Galaxy,,Large elliptical galaxy in the Virgo Cluster
M60,12.7283,11.5500,8.8,Elliptical Galaxy,,Massive elliptical; interacting pair with NGC 4647
M61,12.3650,4.4667,9.7,Spiral Galaxy,,Face-on spiral galaxy in Virgo; prolific supernova host
M62,17.0200,-30.1167,7.4,Globular Cluster,,Asymmetric globular near the galactic center; partially obscured by dust
M63,13.2633,42.0333,9.3,Spiral Galaxy,Sunflower Galaxy,Beautiful spiral with curved dust lanes; companion to M51
M64,12.9450,21.6833,8.5,Spiral Galaxy,Black Eye Galaxy,Distinctive dark dust lane in front of its bright nucleus
M65,11.3150,13.0833,9.3,Spiral Galaxy,,Member of the Leo Triplet along with M66 and NGC 3628
M66,11.3367,12.9833,9.0,Spiral Galaxy,,Brightest of the Leo Triplet; distorted by gravitational interactions
M67,8.8550,11.8167,6.9,Open Cluster,,One of the oldest known open clusters; ~4 billion years old
M68,12.6583,-26.7500,8.3,Globular Cluster,,Loose southern globular in Hydra
M69,18.5233,-32.3500,8.3,Globular Cluster,,Compact globular near the galactic center in Sagittarius
M70,18.7200,-32.3000,9.0,Globular Cluster,,Similar to M69; Comet Shoemaker-Levy 9 was discovered near here
M71,19.8967,18.7833,8.4,Globular Cluster,,Unusually loose globular; long debated whether it is a cluster or association
M72,20.8917,-12.5333,9.4,Globular Cluster,,Faint loose globular in Aquarius
M73,20.9817,-12.6333,9.0,Asterism,,Just four stars in Aquarius; Messier catalogued it as a nebula by mistake
M74,1.6117,15.7833,9.4,Spiral Galaxy,,Classic face-on grand-design spiral; extremely low surface brightness
M75,20.1017,-21.9167,9.2,Globular Cluster,,One of the most compact and concentrated globular clusters
M76,1.7067,51.5667,10.1,Planetary Nebula,Little Dumbbell Nebula,Faintest Messier object; a bipolar planetary nebula
M77,2.7117,-0.0167,9.6,Spiral Galaxy,,Classic Seyfert galaxy; bright active nucleus
M78,5.7783,0.0500,8.3,Reflection Nebula,,Brightest reflection nebula in the sky; part of Orion molecular cloud
M79,5.4083,-24.5500,8.6,Globular Cluster,,Unusual globular far from the galactic center; may have been captured from dwarf galaxy
M80,16.2833,-22.9833,7.3,Globular Cluster,,One of the most densely populated globular clusters in the Milky Way
M81,9.9267,69.0667,6.9,Spiral Galaxy,Bode's Galaxy,Grand spiral galaxy; gravitationally interacting with M82; both in binoculars
M82,9.9300,69.6833,8.4,Irregular Galaxy,Cigar Galaxy,Starburst galaxy with dramatic filamentary outflows; stunning in a telescope
M83,13.6167,-29.8667,8.2,Spiral Galaxy,Southern Pinwheel,Bright barred spiral; one of the finest face-on spirals in the sky
M84,12.4183,12.8833,9.1,Elliptical Galaxy,,Giant elliptical in the core of the Virgo Cluster
M85,12.4233,18.1833,9.1,Elliptical Galaxy,,Northernmost Virgo Cluster member; interacting with NGC 4394
M86,12.4367,12.9500,9.2,Elliptical Galaxy,,Moving toward us — one of the few galaxies with a blue-shifted spectrum
M87,12.5133,12.3833,8.6,Elliptical Galaxy,Virgo A,Supergiant elliptical with a famous jet; first galaxy to have a black hole photographed
M88,12.5333,14.4167,9.6,Spiral Galaxy,,Multi-armed spiral in the Virgo Cluster
M89,12.5950,12.5500,9.8,Elliptical Galaxy,,Nearly perfectly round elliptical galaxy in Virgo
M90,12.6133,13.1667,9.5,Elliptical Galaxy,,Moving toward us in a rare blue-shifted galaxy; part of Virgo Cluster
M91,12.5900,14.5000,10.2,Spiral Galaxy,,Barred spiral; long thought to be a "missing" Messier object
M92,17.2850,43.1333,6.4,Globular Cluster,,Often overlooked near M13 but nearly as impressive; excellent in small scopes
M93,7.7433,-23.8667,6.2,Open Cluster,,Bright open cluster in Puppis; butterfly-shaped core
M94,12.8483,41.1167,8.2,Spiral Galaxy,,Starburst galaxy with a very bright nucleus surrounded by a ring of young stars
M95,10.7333,11.7000,9.7,Spiral Galaxy,,Barred spiral in Leo; member of the M96 group
M96,10.7800,11.8167,9.2,Spiral Galaxy,,Brightest galaxy in the M96 group in Leo
M97,11.2467,55.0167,9.9,Planetary Nebula,Owl Nebula,Large faint planetary nebula in Ursa Major; two dark patches form the owl's eyes
M98,12.2300,14.9000,10.1,Spiral Galaxy,,Edge-on spiral in Virgo; one of the few blue-shifted galaxies
M99,12.3133,14.4167,9.9,Spiral Galaxy,,Face-on spiral; one of the Virgo Cluster members with highest star formation rate
M100,12.3817,15.8167,9.4,Spiral Galaxy,,Grand design spiral; one of the brightest members of the Virgo Cluster
M101,14.0533,54.3500,7.9,Spiral Galaxy,Pinwheel Galaxy,Large face-on spiral; requires dark skies due to low surface brightness
M102,15.1083,55.7667,9.9,Lenticular Galaxy,,Disputed — likely NGC 5866; a spindle-shaped edge-on lenticular galaxy
M103,1.5533,60.7000,7.4,Open Cluster,,Compact open cluster in Cassiopeia; contains a red supergiant
M104,12.6667,-11.6167,8.0,Spiral Galaxy,Sombrero Galaxy,Distinctive dark dust lane and bright bulge; one of the most photogenic galaxies
M105,10.7967,12.5833,9.3,Elliptical Galaxy,,Brightest elliptical in the M96 group; interacting with nearby NGC 3384
M106,12.3167,47.3000,8.4,Spiral Galaxy,,Bright active spiral galaxy with anomalous arms of gas
M107,16.5417,-13.0500,9.2,Globular Cluster,,Loose open globular in Ophiuchus
M108,11.1917,55.6667,10.1,Spiral Galaxy,,Edge-on barred spiral near M97 in Ursa Major
M109,11.9600,53.3667,9.8,Spiral Galaxy,,Barred spiral in Ursa Major; near the star Phecda in the Big Dipper
M110,0.6733,41.6833,8.9,Elliptical Galaxy,,Larger of M31's two satellite galaxies; shows a subtle dust lane
